,Date,Open,High,Low,Close,Volume,Adj_Close
2022-12-29 10:21:00,1672320060000,16602.9,16602.9,16598.5,16598.6,255.759,16598.60
2022-12-29 10:22:00,1672320120000,16598.6,16604.0,16597.2,16602.8,291.678,16602.80
2022-12-29 10:23:00,1672320180000,16602.8,16611.0,16602.7,16611.0,189.99,16611.00
2022-12-29 10:24:00,1672320240000,16611.0,16617.7,16610.9,16617.7,115.102,16617.70
2022-12-29 10:25:00,1672320300000,16617.7,16619.9,16612.0,16614.9,235.29,16614.90
2022-12-29 10:26:00,1672320360000,16615.0,16626.7,16610.0,16622.1,591.959,16622.10
2022-12-29 10:27:00,1672320420000,16622.1,16627.5,16619.5,16621.4,485.994,16621.40
2022-12-29 10:28:00,1672320480000,16621.5,16638.6,16615.1,16630.0,1310.721,16630.00
2022-12-29 10:29:00,1672320540000,16630.0,16630.1,16613.1,16613.1,624.313,16613.10
2022-12-29 10:30:00,1672320600000,16613.2,16650.0,16599.0,16599.8,2096.804,16599.80
2022-12-29 10:31:00,1672320660000,16599.8,16609.5,16586.6,16592.5,1330.594,16592.50
2022-12-29 10:32:00,1672320720000,16592.5,16613.5,16592.5,16613.5,604.315,16613.50
2022-12-29 10:33:00,1672320780000,16613.5,16627.2,16613.5,16623.0,528.563,16623.00
2022-12-29 10:34:00,1672320840000,16622.9,16628.8,16617.3,16619.1,396.936,16619.10
2022-12-29 10:35:00,1672320900000,16619.1,16635.9,16619.1,16631.2,480.844,16631.20
2022-12-29 10:36:00,1672320960000,16631.2,16643.0,16630.0,16639.3,602.961,16639.30
2022-12-29 10:37:00,1672321020000,16639.3,16640.7,16630.0,16630.9,437.12,16630.90
2022-12-29 10:38:00,1672321080000,16630.9,16635.7,16628.1,16635.6,297.755,16635.60
2022-12-29 10:39:00,1672321140000,16635.6,16635.7,16624.4,16629.9,422.727,16629.90
2022-12-29 10:40:00,1672321200000,16629.9,16629.9,16626.3,16626.3,108.874,16626.30
2022-12-29 10:41:00,1672321260000,16626.3,16629.0,16618.1,16629.0,301.746,16629.00
2022-12-29 10:42:00,1672321320000,16629.0,16634.6,16628.9,16634.5,260.438,16634.50
2022-12-29 10:43:00,1672321380000,16634.4,16636.6,16631.1,16631.2,262.16,16631.20
2022-12-29 10:44:00,1672321440000,16631.1,16636.6,16625.8,16636.5,262.101,16636.50
2022-12-29 10:45:00,1672321500000,16636.5,16639.7,16632.2,16639.7,504.449,16639.70
2022-12-29 10:46:00,1672321560000,16639.6,16639.7,16636.9,16638.0,265.647,16638.00
2022-12-29 10:47:00,1672321620000,16638.1,16638.1,16635.1,16635.1,109.042,16635.10
2022-12-29 10:48:00,1672321680000,16635.1,16637.7,16632.2,16636.7,731.229,16636.70
2022-12-29 10:49:00,1672321740000,16636.6,16636.7,16628.7,16630.0,203.147,16630.00
2022-12-29 10:50:00,1672321800000,16630.0,16630.0,16626.5,16626.6,129.501,16626.60
2022-12-29 10:51:00,1672321860000,16626.5,16626.6,16626.3,16626.4,166.229,16626.40
2022-12-29 10:52:00,1672321920000,16626.3,16626.4,16617.3,16617.4,174.877,16617.40
2022-12-29 10:53:00,1672321980000,16617.3,16620.9,16615.9,16615.9,250.849,16615.90
2022-12-29 10:54:00,1672322040000,16615.9,16616.7,16614.4,16616.7,148.244,16616.70
2022-12-29 10:55:00,1672322100000,16616.6,16616.7,16614.2,16615.9,133.638,16615.90
2022-12-29 10:56:00,1672322160000,16615.9,16623.0,16614.8,16614.8,221.411,16614.80
2022-12-29 10:57:00,1672322220000,16614.9,16619.2,16614.1,16615.9,169.618,16615.90
2022-12-29 10:58:00,1672322280000,16615.9,16616.8,16615.1,16616.7,60.355,16616.70
2022-12-29 10:59:00,1672322340000,16616.8,16617.1,16610.2,16610.2,154.834,16610.20
2022-12-29 11:00:00,1672322400000,16610.2,16611.0,16610.2,16610.9,100.393,16610.90
